I_value	Tstar	ystar
4.84	3.1459491524023493	[0.19313852698402192, 0.19942099271851757, 0.20575736115453971, 0.21210879145164838, 0.21843157276007458, 0.2246772199690379, 0.2307927149763578, 0.23672091175567214, 0.24240112091819452, 0.24776988332331001, 0.252761936187953, 0.25731136588902354, 0.26135293238058027, 0.26482353877184467, 0.26766380878135676, 0.26981972359205897, 0.2712442601045725, 0.271898964916706, 0.2717553936524411, 0.2707963445711053, 0.269016818495766, 0.2664246455806551, 0.26304073138770145, 0.2588988920140658, 0.25404526685085593, 0.2485373201083303, 0.24244246309915232, 0.2358363512288503, 0.2288009261543342, 0.2214222886627651, 0.21378849448038684, 0.2059873692283163, 0.19810443311683099, 0.1902210184567817, 0.18241264681222272, 0.17474771706361544, 0.16728653374892374, 0.16008068730926153, 0.15317277651253003, 0.1465964492308774, 0.14037672196124282, 0.13453053174028473, 0.12906746616839723, 0.12399061859618157, 0.11929751480667794, 0.1149810651206945, 0.11103049976718021, 0.10743225614212969, 0.10417079201554846, 0.10122930976215143, 0.09859038116517597, 0.09623647162503064, 0.09415036479934794, 0.09231549548308589, 0.090716198245268, 0.08933788379163013, 0.08816715274837307, 0.08719185934173802, 0.08640113396116124, 0.08578537544201537, 0.08533621991293713, 0.08504649455979582, 0.08491016065940454, 0.08492225176297541, 0.08507880916859455, 0.08537681852672059, 0.08581414803015887, 0.0863894905447112, 0.08710230897709399, 0.08795278623451928, 0.08894177834208081, 0.09007077142648953, 0.09134184068731277, 0.09275761164066985, 0.09432122147319534, 0.09603628048248752, 0.09790683122947537, 0.09993730511328427, 0.10213247379871483, 0.10449739494867627, 0.1070373494953349, 0.10975776965089669, 0.11266415471239707, 0.11576197365244473, 0.11905655144495256, 0.12255293802899116, 0.12625575692846466, 0.13016903258708376, 0.13429599382886864, 0.1386388530763293, 0.14319855964938807, 0.1479745279758269, 0.15296434068962253, 0.1581634294875143, 0.1635647363098164, 0.16915836074732518, 0.17493119984916852, 0.18086659023385313, 0.18694396314550826]
5.324	2.7293841025384937	[0.1979331706390108, 0.2073533534125814, 0.2170565097696331, 0.22698998821464667, 0.23708896312241506, 0.24727574598116137, 0.25745940735395073, 0.2675358023648863, 0.2773880920011226, 0.28688784611291385, 0.2958967983245376, 0.30426929898321226, 0.31185547762578397, 0.3185050835637659, 0.3240719221850837, 0.328418750016328, 0.33142243628685786, 0.33297914927858346, 0.33300928675852776, 0.331461848149305, 0.3283179458393943, 0.3235931783406603, 0.3173386392443004, 0.30964041176448664, 0.3006174938858726, 0.2904182062563266, 0.2792152442336096, 0.2671996359936522, 0.25457395024434476, 0.24154515068583396, 0.2283175148092547, 0.2150860191463727, 0.2020305447055103, 0.18931117979551443, 0.17706480274783853, 0.16540302325131756, 0.15441146029187797, 0.14415024496115544, 0.13465556671260132, 0.12594203454994812, 0.11800560335160477, 0.11082681644555264, 0.10437413694853112, 0.0986071748254155, 0.09347966059265161, 0.08894206220765138, 0.08494378664521046, 0.08143494603455113, 0.07836770033888017, 0.07569721099398757, 0.07338225537464944, 0.0713855587742586, 0.0696739027031995, 0.06821806469532955, 0.06699263955541129, 0.0659757838299611, 0.06514891788025698, 0.06449641150021218, 0.06400527260392101, 0.06366485186675482, 0.06346657193159035, 0.06340368539426397, 0.06347106358493189, 0.0636650156134609, 0.06398313645075529, 0.06442418148537168, 0.0649879651813707, 0.06567528079169845, 0.0664878386812193, 0.06742822042313096, 0.06849984655339883, 0.06970695553887156, 0.07105459220087952, 0.07254860345672176, 0.07419563981987601, 0.07600316061735615, 0.07797944132168576, 0.08013358078315401, 0.08247550643245928, 0.08501597476563404, 0.08776656454412009, 0.09073965922698812, 0.09394841510931877, 0.09740671056938932, 0.10112907164145091, 0.1051305679387446, 0.10942667268934748, 0.11403307943408801, 0.11896546774696876, 0.12423920930946461, 0.12986900583468342, 0.13586844985128793, 0.1422495003282356, 0.14902186572384285, 0.156192289458215, 0.1637637352107866, 0.17173447405835357, 0.18009708041586964, 0.18883735120647938]
5.856400000000001	2.37146339158232	[0.19664683395309804, 0.20850441883181528, 0.22092965088215666, 0.23387118409803076, 0.24725752624494943, 0.2609946989741584, 0.27496427854809263, 0.28902203736175547, 0.3029974299770916, 0.31669417733273025, 0.3298921922529141, 0.3423510536560521, 0.35381517071264923, 0.36402068064192217, 0.37270399566135587, 0.37961176289898557, 0.38451183624178853, 0.3872046979809362, 0.3875346296770855, 0.3853998379216747, 0.380760710827179, 0.3736454308069024, 0.364152304735504, 0.3524483903618992, 0.3387642813375335, 0.32338523546983816, 0.30663915585556245, 0.28888222346306724, 0.2704831955693004, 0.2518074989314681, 0.2332022445210442, 0.21498317289037364, 0.19742432267765972, 0.18075092912478075, 0.16513574293889124, 0.1506986517830437, 0.1375092227100855, 0.1255915894166378, 0.11493099725734604, 0.10548129183515176, 0.09717268385916707, 0.08991922521712487, 0.08362556749310035, 0.07819272206931015, 0.07352268240718983, 0.06952188988499883, 0.06610361747153005, 0.06318940742297398, 0.0607097326147133, 0.058604060078997995, 0.05682048662884673, 0.05531509572392949, 0.05405115833658339, 0.052998272283265556, 0.05213150817592975, 0.05143060701237018, 0.05087925604259219, 0.050464455313447544, 0.050175977514829134, 0.050005917077367575, 0.049948320846789775, 0.04999889069003783, 0.05015474811873915, 0.05041425128749115, 0.050776855807410794, 0.051243011804929364, 0.05181409100086334, 0.05249233856121486, 0.053280845625654785, 0.054183539130531644, 0.055205186391885805, 0.05635141232816543, 0.05762872776327825, 0.05904456740653535, 0.060607336423846164, 0.06232646444852752, 0.06421246598041991, 0.06627700584169247, 0.06853296823285175, 0.07099452741022268, 0.07367721761375749, 0.0765979990495826, 0.0797753160009555, 0.08322914193220733, 0.08698100529829095, 0.09105398809884022, 0.09547268758331831, 0.10026312934924854, 0.10545261799787167, 0.11106950897751916, 0.11714288297289606, 0.12370210171540434, 0.1307762222702316, 0.13839324534819145, 0.14657917308327958, 0.15535685281838882, 0.16474458707864442, 0.17475449602831036, 0.1853906287888299]
6.442040000000001	2.0645330751734323	[0.19170379694153766, 0.2055075672743265, 0.22019821263951325, 0.23574065958374693, 0.252072074045625, 0.2690969909583979, 0.286682687299597, 0.30465519282686077, 0.322796405714222, 0.34084285226065747, 0.35848664939418323, 0.3753792156454918, 0.3911381778078638, 0.40535776200247453, 0.41762269822227766, 0.4275253508460882, 0.4346853995358614, 0.43877100761482984, 0.4395200443941723, 0.4367596653192132, 0.4304224260028515, 0.42055718974530726, 0.4073333801783412, 0.3910376495646705, 0.3720627129535131, 0.35088888215100833, 0.32805960168034753, 0.30415294692941935, 0.2797514807224235, 0.25541302026770896, 0.23164470948579258, 0.20888235295552773, 0.1874763144359538, 0.16768451818107977, 0.14967232978295295, 0.13351843652867373, 0.11922537728133954, 0.10673312192677092, 0.09593407813275895, 0.08668806505857693, 0.0788360937069212, 0.07221215465156304, 0.06665258731864004, 0.062002928753372766, 0.05812239821604384, 0.054886339422021785, 0.05218703401773913, 0.049933314733184866, 0.04804938049563561, 0.046473150429542705, 0.04515442408039323, 0.04405303612333433, 0.043137132015680514, 0.04238163241834243, 0.04176691839031803, 0.041277737016249136, 0.04090231450717231, 0.04063165028507337, 0.04045896668546492, 0.04037928493284951, 0.04038910482336103, 0.0404861648127356, 0.0406692670461967, 0.04093815134168118, 0.04129340919417988, 0.04173642759572141, 0.042269358369582025, 0.042895106667003975, 0.04361733721274461, 0.04444049429456206, 0.04536983575427952, 0.04641147832828001, 0.04757245550702652, 0.048860785987416416, 0.05028555432243683, 0.05185700213359998, 0.05358663156621901, 0.05548731925326434, 0.057573442164313655, 0.05986101302783593, 0.06236782587480847, 0.06511360812328085, 0.06812017812171858, 0.07141160226156461, 0.07501434772968568, 0.07895742117643297, 0.08327248477077509, 0.08799393398800974, 0.09315892169521112, 0.09880730437168356, 0.10498148551220886, 0.11172612097194494, 0.11908764968715982, 0.12711360214469922, 0.13585163863853342, 0.1453482597073772, 0.15564713509682232, 0.16678699367849298, 0.17879903065328365]
7.086244000000002	1.8014064676840857	[0.18418518143302723, 0.19951082087353209, 0.21606186598016025, 0.23383463916950142, 0.25279148347769687, 0.27285254054220526, 0.2938873085106291, 0.3157065737906169, 0.3380554585503937, 0.3606085424492271, 0.38296810512626084, 0.40466662932857944, 0.42517458599219254, 0.4439143351894189, 0.4602805142238244, 0.47366672924492675, 0.4834975688129044, 0.4892641690957971, 0.49056071184503003, 0.48711863662137106, 0.47883497495370014, 0.46579134620796514, 0.44826071344407026, 0.42670011128054186, 0.4017289962856291, 0.3740945585731096, 0.34462691642991217, 0.31418841921494306, 0.2836220030892174, 0.25370361097702143, 0.22510303570867202, 0.1983563333498087, 0.1738513684225011, 0.1518263915745422, 0.13238006894488535, 0.11549029822506554, 0.10103857701799498, 0.08883663592195115, 0.07865244378139706, 0.07023337218380934, 0.0633251307948996, 0.05768587449435539, 0.05309555993698294, 0.04936109512919194, 0.04631810785313908, 0.04383023775038946, 0.041786822423917847, 0.04009970400566008, 0.038699725114683795, 0.037533297635668164, 0.036559288967406366, 0.03574633733170342, 0.035070635633081895, 0.034514155580576585, 0.034063267328352784, 0.03370768470647334, 0.03343967866891654, 0.03325349467147999, 0.03314493127335164, 0.03311103432274343, 0.03314988213479984, 0.033260432695125075, 0.03344242170788951, 0.03369629367289419, 0.03402316288676835, 0.034424793064668696, 0.034903596814368956, 0.03546264723677531, 0.03610570508080427, 0.03683725568607161, 0.03766256025633199, 0.0385877168187272, 0.03961973602841381, 0.0407666278505587, 0.04203750467171947, 0.043442697260411035, 0.044993889383121925, 0.04670426759595463, 0.04858869208471993, 0.05066388475627337, 0.05294864014625482, 0.05546405432352872, 0.058233776308280936, 0.061284274952036595, 0.064645123390312, 0.06834928977385202, 0.07243343167991681, 0.0769381755004383, 0.08190836990400147, 0.08739328263367543, 0.09344671637108627, 0.10012699486629965, 0.10749677561637584, 0.11562261584839975, 0.12457422345242633, 0.13442329153963922, 0.14524182394541563, 0.15709982785130205, 0.17006227084098677]
7.794868400000003	1.5756309043990608	[0.1747714982862209, 0.19122427963462493, 0.20924628176205293, 0.22888006251564216, 0.25013044853131555, 0.2729522830584045, 0.29723707842983693, 0.32279928598241714, 0.34936327559461183, 0.3765524585932684, 0.4038823507302164, 0.43075956753750316, 0.4564888078139816, 0.48028959705303187, 0.5013239876166304, 0.5187353825019247, 0.5316973310894466, 0.5394695253844507, 0.5414566455171352, 0.5372643202427968, 0.5267457216549741, 0.5100323656646646, 0.4875438220837081, 0.4599731344347532, 0.42824767787911067, 0.3934684244134931, 0.3568336521535844, 0.31955538193718325, 0.2827778531118937, 0.24750689224932376, 0.21455721007474757, 0.1845218173345666, 0.15776447261846357, 0.13443296552491787, 0.11448864495637893, 0.09774624555543385, 0.08391782883135684, 0.07265538364198261, 0.06358800668831162, 0.05635123876945085, 0.05060771708051026, 0.04605958478381739, 0.04245394309620819, 0.039583045560780294, 0.03728097664509938, 0.03541835870739905, 0.03389629248147684, 0.03264037422102084, 0.031595294052496885, 0.03072026098330735, 0.029985308586657208, 0.02936842654380912, 0.028853399662780263, 0.028428222770133, 0.028083959449052655, 0.027813935363059993, 0.027613172971587347, 0.027478000772257958, 0.02740578315182616, 0.027394736631501097, 0.027443804389543226, 0.027552573921155284, 0.027721223710591544, 0.02795049339570976, 0.028241670160986627, 0.02859659032039235, 0.029017652085476024, 0.02950784053877096, 0.030070762433807564, 0.03071069287255125, 0.03143263241960268, 0.03224237734842032, 0.033146602245391975, 0.03415295820082258, 0.03527018637461847, 0.036508250690721424, 0.03787848994497921, 0.03939379359514685, 0.04106880189093614, 0.042920135011059936, 0.04496665192842701, 0.04722974368746288, 0.04973366117218085, 0.05250588115245091, 0.05557750859332148, 0.05898371623436123, 0.06276421458403914, 0.06696374704207196, 0.07163259363818746, 0.07682706580924892, 0.08260995827105978, 0.08905091883793678, 0.09622667354890703, 0.10422103385911895, 0.11312458081371712, 0.12303390566430275, 0.1340502480485172, 0.14627735804916547, 0.15981837264387885]
8.574355240000004	1.3815797803392025	[0.1639759415582865, 0.1811808173198699, 0.2002905151449224, 0.2214077006557811, 0.24459704587379008, 0.26986856077195687, 0.29715840085149536, 0.32630792490839267, 0.35704235637785176, 0.3889510689885866, 0.42147219572194006, 0.453884832392594, 0.4853124101892831, 0.5147406634841856, 0.54105284268451, 0.5630833056965682, 0.5796883673842265, 0.5898304740749414, 0.5926687714500299, 0.5876465037821113, 0.5745640626738713, 0.5536264940051966, 0.5254562436327087, 0.49106586828799026, 0.4517908752057209, 0.40918886740059246, 0.3649165780903881, 0.32060001383267184, 0.27771395256688836, 0.23748519701227333, 0.2008296662357811, 0.16832758718599336, 0.14023499289824568, 0.11652467504616859, 0.09694655447801516, 0.08109647077830719, 0.06848345155467701, 0.058587999705923106, 0.050907047827325774, 0.044984236215920036, 0.04042654847226486, 0.03690983736909676, 0.03417639892147634, 0.032027683426304424, 0.030314724125722073, 0.028928165478335526, 0.027789074843250747, 0.02684113855976424, 0.026044422456314123, 0.025370614567989433, 0.02479953464143481, 0.024316651787925216, 0.023911362672959034, 0.02357581985810245, 0.023304145220152263, 0.023091906067784954, 0.02293576727146891, 0.022833260021666073, 0.022782627737799446, 0.02278272335573268, 0.02283294153069121, 0.022933175288954232, 0.0230837906271928, 0.023285615001343015, 0.023539937310431476, 0.023848517978530097, 0.024213608503995034, 0.024637980305417195, 0.025124963138478968, 0.025678493641362286, 0.026303174917162643, 0.02700434831145486, 0.0277881788941489, 0.028661756432393708, 0.02963321403609405, 0.030711866990942055, 0.0319083747498862, 0.033234929445021405, 0.03470547478599607, 0.0363359596202861, 0.03814463091159252, 0.04015237119704109, 0.04238308585277739, 0.044864145409204255, 0.0476268877994034, 0.050707184349219045, 0.05414607151422816, 0.05799044718852054, 0.062293825682532486, 0.06711713825701553, 0.07252955603112714, 0.07860929788906117, 0.08544436716784627, 0.0931331359612271, 0.10178466452347164, 0.11151860446005843, 0.12246448913470824, 0.13476016387796072, 0.1485490565793317]
9.431790764000006	1.2144347046314885	[0.15222389580337375, 0.16982552653835203, 0.18964656305293576, 0.21186189239565675, 0.23661256124339516, 0.2639846764502754, 0.29398376892567196, 0.3265052491216696, 0.3613024420267136, 0.397954765146932, 0.43583982339490457, 0.47411435491368575, 0.5117098136496512, 0.5473485650495761, 0.5795858496802703, 0.6068805340761829, 0.6276941353966475, 0.6406128866610812, 0.6444823364858551, 0.638539145868706, 0.6225216102986004, 0.5967401805161352, 0.5620926612898812, 0.5200158205704939, 0.472374880129335, 0.42130292150975074, 0.36901129515466563, 0.31759745851693744, 0.2688768994261412, 0.22426079244946803, 0.18469201683590358, 0.15064135417712035, 0.12215563493004274, 0.09894244620711465, 0.08047290743337168, 0.0660849513361126, 0.05507352283698222, 0.04675960826985996, 0.04053550710994333, 0.035888129693280424, 0.03240480062431433, 0.02976707125836047, 0.027737770392667362, 0.026145477180004602, 0.024869279149685154, 0.023825439225864168, 0.02295663059064764, 0.022223760614280916, 0.02160005781419403, 0.021066962693682304, 0.02061136264951003, 0.020223777399189083, 0.019897189138911017, 0.01962629603632721, 0.0194070368696539, 0.01923628668754521, 0.019111659562089368, 0.01903137881266794, 0.01899419040244166, 0.018999304936891146, 0.019046359408755546, 0.019135393471781167, 0.019266837029061994, 0.01944150733405686, 0.019660614517545028, 0.019925775112727178, 0.020239033451111978, 0.020602891222025323, 0.02102034567532391, 0.021494937311390093, 0.02203080808801473, 0.022632771561202098, 0.023306396616523208, 0.02405810690660654, 0.024895298443390793, 0.02582647836475829, 0.026861428354927407, 0.02801139691476644, 0.029289325285458558, 0.030710112704043824, 0.03229092740690621, 0.03405157078249633, 0.03601490282739071, 0.038207337959910735, 0.04065942067736471, 0.043406490844885154, 0.04648944772330667, 0.04995562040711809, 0.053859748903436915, 0.05826507464374829, 0.06324452992634438, 0.06888200230560501, 0.0752736296162771, 0.08252905350555541, 0.09077252065182617, 0.10014367090955358, 0.11079778722836463, 0.12290520519753048, 0.13664949019493836]
10.374969840400007	1.0701130651871353	[0.13988415844375454, 0.1575510000532111, 0.17771913871028197, 0.20064526918463138, 0.2265615269193585, 0.25565043365359086, 0.2880126981241272, 0.3236280601211933, 0.3623105202392699, 0.4036608955347213, 0.44702159062180985, 0.49144056068528646, 0.5356532451135889, 0.5780922034463497, 0.6169335901488833, 0.6501868531366188, 0.6758287743688564, 0.6919754195936615, 0.6970766736916886, 0.6901095778755625, 0.6707409242956437, 0.6394287982968478, 0.59743847818536, 0.5467603283529808, 0.4899341424230271, 0.42980222535478624, 0.36922790704249997, 0.3108232361856788, 0.25672720436392515, 0.20846453590851033, 0.16689791119911485, 0.13226808115734046, 0.10430130231894859, 0.08235508402758185, 0.06557235345712915, 0.053019574802284794, 0.04379343738113279, 0.03709044857362237, 0.03224174376040258, 0.028720403463631323, 0.026130440858587418, 0.02418608549496062, 0.022688066430419946, 0.021501246302509935, 0.020535841525515155, 0.019732906200350304, 0.019053810669565935, 0.01847300220855054, 0.017973231461771207, 0.017542510077230462, 0.017172220557759785, 0.016855960804002135, 0.016588841875710175, 0.016367058736550266, 0.01618762338730084, 0.01604819450246363, 0.01594696532320424, 0.01588258775250984, 0.015854120094144622, 0.015860991110226652, 0.01590297618451974, 0.015980183017542636, 0.016093045392418726, 0.016242324107516037, 0.016429114686867405, 0.01665486172384031, 0.016921380053888123, 0.017230883119385868, 0.017586019194794026, 0.01798991631676542, 0.018446237097689822, 0.01895924483586908, 0.019533882745809653, 0.020175868469682112, 0.020891806568152135, 0.021689322180114434, 0.022577219764324627, 0.02356567154065287, 0.02466644122527375, 0.02589314963294907, 0.027261590007626024, 0.02879010222810935, 0.030500016637125933, 0.03241617976183555, 0.034567575937449836, 0.03698806024556199, 0.039717219463686365, 0.04280137800070152, 0.04629476508163812, 0.05026085626309123, 0.05477389628113423, 0.059920598786100114, 0.06580200053117641, 0.07253541914937987, 0.08025642272318492, 0.0891206605192682, 0.09930532537938166, 0.1110099138917762, 0.12445582176112295]
11.41246682444001	0.9451756765663372	[0.12728164489770655, 0.14471152169780213, 0.16488186897024246, 0.18813756706676238, 0.21481376879722705, 0.24520791948818702, 0.2795415108753113, 0.31791089220041724, 0.3602279187258051, 0.40615336144211406, 0.45502896660868947, 0.5058174175919776, 0.5570628461477827, 0.6068868364744067, 0.6530351115988988, 0.6929868138430972, 0.7241309107702872, 0.7440025460395201, 0.7505577970618712, 0.7424509295372809, 0.7192681875806293, 0.6816703341022082, 0.631405642514291, 0.571175602942576, 0.504363862072418, 0.4346679259488427, 0.3656950401031169, 0.30059161992320305, 0.24176701897695824, 0.19074958498721742, 0.1481827339489262, 0.11393985852270311, 0.08731691302944551, 0.06725441397930296, 0.05254589134731162, 0.04200346739178493, 0.034567703092544616, 0.02936322221923194, 0.025711004076259782, 0.02311202448683461, 0.02121624482286766, 0.019787693235033682, 0.018672361127884788, 0.017772093408528485, 0.017025149720472307, 0.01639270257146318, 0.01584997477798221, 0.01538068567453064, 0.014973696023603069, 0.014621034250012706, 0.014316751747271251, 0.014056259388351741, 0.013835936617288512, 0.013652894003678152, 0.01350482246566161, 0.013389893229137261, 0.013306688497568527, 0.013254152354487155, 0.013231555518548066, 0.013238470718853045, 0.01327475627249467, 0.013340546827442032, 0.013436250206976497, 0.013562550163366155, 0.013720414621204418, 0.013911109690685066, 0.014136219478199109, 0.014397672361981934, 0.014697774182622508, 0.015039249439146267, 0.015425291433082486, 0.015859622997070968, 0.016346569399984277, 0.01689114582886118, 0.01749916195179123, 0.018177347067228632, 0.018933499660282346, 0.019776666485731877, 0.020717356909075512, 0.02176779996905778, 0.022942252636178887, 0.02425737006245913, 0.02573265011826402, 0.02739096754880969, 0.02925921505304842, 0.03136907229374886, 0.03375792590895315, 0.036469967388496505, 0.03955749653037175, 0.043082460165397046, 0.047118252100444916, 0.05175179561969666, 0.05708591403135237, 0.06324197341436452, 0.07036273909866204, 0.07861533088032628, 0.08819406841270565, 0.09932287943007265, 0.11225676922358103]
